Game,Loose Price,Complete Price,New Price,Graded Price,Box Only,Manual Only
Mario Kart: Double Dash!!,24.99,44.99,89.99,199.99,12.99,4.99
Super Smash Bros. Melee,29.99,54.99,119.99,249.99,14.99,5.99
Super Mario Sunshine,19.99,39.99,79.99,179.99,10.99,3.99
The Legend of Zelda: The Wind Waker,24.99,49.99,99.99,219.99,12.99,4.99
Luigi's Mansion,34.99,59.99,119.99,229.99,15.99,5.99
Metroid Prime,19.99,34.99,69.99,159.99,9.99,3.99
Metroid Prime 2: Echoes,24.99,39.99,79.99,169.99,10.99,3.99
The Legend of Zelda: Twilight Princess,29.99,54.99,109.99,239.99,13.99,4.99
Animal Crossing,19.99,34.99,69.99,149.99,9.99,3.99
Pikmin,14.99,24.99,49.99,119.99,7.99,2.99
Pikmin 2,34.99,59.99,119.99,249.99,14.99,5.99
F-Zero GX,29.99,49.99,99.99,219.99,12.99,4.99
Paper Mario: The Thousand-Year Door,39.99,64.99,129.99,269.99,16.99,5.99
Resident Evil 4,14.99,24.99,49.99,119.99,7.99,2.99
Tales of Symphonia,29.99,54.99,109.99,239.99,13.99,4.99
Baten Kaitos: Eternal Wings,29.99,49.99,99.99,219.99,12.99,4.99
Kirby Air Ride,24.99,39.99,79.99,169.99,9.99,3.99
Star Wars Rogue Squadron II,9.99,19.99,39.99,89.99,5.99,1.99
Star Wars Rogue Squadron III,9.99,19.99,39.99,89.99,5.99,1.99
Mario Party 4,19.99,34.99,69.99,149.99,9.99,3.99
Mario Party 5,24.99,39.99,79.99,169.99,10.99,3.99
Mario Party 6,24.99,39.99,79.99,169.99,10.99,3.99
Mario Party 7,24.99,39.99,79.99,169.99,10.99,3.99
NBA Street Vol. 2,9.99,14.99,29.99,69.99,4.99,1.99
Madden NFL 2003,2.99,4.99,9.99,24.99,1.99,0.99
Madden NFL 2004,2.99,4.99,9.99,24.99,1.99,0.99
Madden NFL 2005,2.99,4.99,9.99,24.99,1.99,0.99
Tony Hawk's Pro Skater 3,7.99,12.99,24.99,59.99,3.99,1.49
Tony Hawk's Underground,9.99,14.99,29.99,69.99,4.99,1.99
Donkey Konga,9.99,19.99,39.99,89.99,5.99,1.99
Donkey Kong Jungle Beat,14.99,24.99,49.99,109.99,6.99,2.49
Soul Calibur II,14.99,24.99,49.99,109.99,6.99,2.49
Viewtiful Joe,14.99,24.99,49.99,109.99,6.99,2.49
Beyond Good & Evil,14.99,24.99,49.99,109.99,6.99,2.49
Eternal Darkness,19.99,34.99,69.99,149.99,8.99,2.99
Skies of Arcadia Legends,49.99,79.99,159.99,349.99,19.99,7.99
Chibi-Robo!,34.99,59.99,119.99,249.99,14.99,5.99
